Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
16:53:28.156,0,0.44,0.94,-1,35.2,0.048,0
16:53:28.187,0,0.43,1,-1,35.2,0.048,0
16:53:28.218,0,0.46,1.09,-1,35.2,0.048,0
16:53:28.250,-0.01,0.48,0.93,-1,34.9,0.048,0
16:53:28.281,-0.01,0.4,0.79,-1,34.9,0.048,0
16:53:28.312,-0.07,0.45,0.73,-1,34.9,0.048,0
16:53:28.343,-0.07,0.54,0.91,-1,35.2,0.048,0
16:53:28.375,-0.13,0.48,0.89,-1,35.2,0.048,0
16:53:28.406,-0.11,0.55,0.87,-1,34.9,0.048,0
16:53:28.437,-0.11,0.45,0.84,-1,35.2,0.048,0
16:53:28.468,-0.1,0.41,0.73,-1,35.4,0.046,0
16:53:28.500,-0.09,0.41,0.68,-1,35.4,0.048,0
16:53:28.531,-0.02,0.48,0.8,-1,35.4,0.048,0
16:53:28.562,-0.04,0.46,0.89,-1,35.4,0.048,0
16:53:28.593,-0.08,0.36,0.79,-1,35.4,0.048,0
16:53:28.625,0.01,0.44,0.81,-1,35.4,0.048,0
16:53:28.656,0.14,0.31,2.07,-1,35.2,0.048,0
16:53:28.687,-0.03,0.16,1.29,-1,35.4,0.048,0
16:53:28.718,-0.01,0.34,0.91,-1,35.2,0.048,0
16:53:28.750,0,0.42,0.67,-1,35.4,0.048,0
16:53:28.781,-0.03,0.32,0.73,-1,35.4,0.048,0
16:53:28.812,-0.07,0.39,0.78,-1,35.4,0.048,0
16:53:28.843,-0.08,0.31,0.71,-1,35.4,0.046,0
16:53:28.875,-0.02,0.35,0.71,-1,35.4,0.046,0
16:53:28.906,-0.02,0.49,0.99,-1,35.2,0.046,0
16:53:28.937,0.01,0.26,0.65,-1,35.2,0.048,0
16:53:28.968,0.25,1.33,1.77,-1,35.2,0.048,0
16:53:29.000,-0.13,-0.01,1.29,-1,35.4,0.048,0
16:53:29.031,-0.02,0.23,0.85,-1,35.2,0.048,0
16:53:29.062,0.02,0.38,0.78,-1,34.9,0.048,0
16:53:29.093,0.02,0.51,0.81,-1,34.9,0.048,0
16:53:29.125,-0.01,0.43,0.96,-1,34.9,0.048,0
16:53:29.156,-0.06,0.45,1.01,-1,35.2,0.048,0
16:53:29.187,-0.1,0.35,0.94,-1,34.9,0.048,0
16:53:29.218,-0.1,0.41,0.75,-1,34.9,0.048,0
16:53:29.250,-0.15,0.36,0.56,-1,34.9,0.048,0
16:53:29.281,-0.12,0.52,0.82,-1,34.9,0.048,0
16:53:29.312,-0.13,0.49,0.94,-1,34.9,0.048,0
16:53:29.343,-0.09,0.38,0.77,-1,35.2,0.048,0
16:53:29.375,0,0.47,1.04,-1,34.9,0.048,0
16:53:29.406,-0.05,0.55,0.92,-1,34.9,0.048,0
16:53:29.437,-0.2,0.25,1.62,-1,34.9,0.048,0
16:53:29.468,-0.08,0.78,1.02,-1,34.9,0.048,0
16:53:29.500,-0.05,0.25,0.64,-1,34.9,0.048,0
16:53:29.531,0.03,0.34,0.66,-1,34.9,0.048,0
16:53:29.562,0.11,0.51,0.73,-1,34.9,0.048,0
16:53:29.593,0.04,0.47,0.89,-1,34.9,0.048,0
16:53:29.625,-0.02,0.37,0.96,-1,34.9,0.048,0
16:53:29.656,-0.05,0.38,0.97,-1,34.9,0.048,0
