Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
00:48.406,-0.41,-0.09,0.95,-1,23.3,0.043,0
00:48.437,-0.41,-0.09,0.95,-1,23.3,0.043,0
00:48.468,-0.41,-0.08,0.94,-1,23.3,0.045,0
00:48.500,-0.41,-0.09,0.93,-1,23.3,0.043,0
00:48.531,-0.41,-0.09,0.93,-1,23.5,0.043,0
00:48.562,-0.4,-0.09,0.94,-1,23.3,0.043,0
00:48.593,-0.39,-0.08,0.93,-1,23.5,0.045,0
00:48.625,-0.38,-0.09,0.91,-1,23.5,0.043,0
00:48.656,-0.36,-0.09,0.92,-1,23.5,0.045,0
00:48.687,-0.35,-0.13,0.91,-1,23.3,0.043,0
00:48.718,-0.31,-0.14,0.8,-1,23.3,0.043,0
00:48.750,-0.28,-0.12,0.63,-1,23.3,0.045,0
00:48.781,-0.23,-0.14,0.75,-1,23.3,0.043,0
00:48.812,-0.24,-0.11,1.12,-1,23.5,0.043,0
00:48.843,-0.2,-0.09,1.14,-1,23.5,0.043,0
00:48.875,-0.43,-0.49,1.79,-1,23.3,0.043,0
00:48.906,-0.2,-0.27,0.99,-1,23.3,0.045,0
00:48.937,-0.24,-0.32,0.85,-1,23.3,0.045,0
00:48.968,-0.22,-0.13,0.93,-1,23.5,0.043,0
00:49.000,-0.11,-0.15,0.32,-1,23.3,0.045,0
00:49.031,-0.03,-0.45,0.84,-1,23.5,0.043,0
00:49.062,-0.28,-0.52,1.64,-1,23.3,0.043,0
00:49.093,-0.25,-0.1,0.86,-1,23.3,0.041,0
00:49.125,-0.18,-0.09,0.84,-1,23.3,0.043,0
00:49.156,-0.18,-0.1,0.54,-1,23.3,0.045,0
00:49.187,-0.06,-0.2,0.71,-1,23.5,0.043,0
00:49.218,-0.29,-0.38,2.14,-1,23.3,0.043,0
00:49.250,-0.25,0.24,0.71,-1,23.3,0.043,0
00:49.281,-0.2,-0.21,0.87,-1,23.3,0.043,0
00:49.312,-0.22,-0.19,0.87,-1,23.3,0.045,0
00:49.343,-0.1,-0.13,0.33,-1,23.5,0.043,0
00:49.375,-0.28,-0.66,2.62,-1,23.5,0.043,0
00:49.406,-0.16,-0.7,1.21,-1,23.3,0.043,0
00:49.437,-0.24,-0.27,0.93,-1,23.5,0.043,0
00:49.468,-0.2,0.15,0.99,-1,23.3,0.043,0
00:49.500,-0.17,-0.17,0.57,-1,23.5,0.043,0
00:49.531,-0.21,-0.15,0.43,-1,23.5,0.045,0
00:49.562,-0.29,-0.59,1.52,-1,23.5,0.045,0
00:49.593,-0.26,0.12,0.78,-1,23.5,0.043,0
00:49.625,-0.1,-0.05,0.93,-1,23.5,0.045,0
00:49.656,-0.17,-0.22,0.88,-1,23.3,0.045,0
00:49.687,-0.07,-0.18,0.59,-1,23.5,0.043,0
00:49.718,-0.24,-0.42,1.62,-1,23.5,0.043,0
00:49.750,-0.25,0.23,0.72,-1,23.3,0.043,0
00:49.781,-0.13,-0.08,0.9,-1,23.3,0.043,0
00:49.812,-0.21,-0.27,1.01,-1,23.5,0.043,0
00:49.843,-0.09,-0.12,0.47,-1,23.5,0.043,0
00:49.875,-0.28,0.01,1.94,-1,23.5,0.043,0
00:49.906,-0.23,0.09,0.72,-1,23.5,0.043,0
00:49.937,-0.18,-0.21,0.89,-1,23.5,0.043,0
00:49.968,-0.2,-0.14,1.09,-1,23.3,0.045,0
00:50.000,-0.11,-0.12,0.5,-1,23.5,0.043,0
00:50.031,0.25,-0.57,2.05,-1,23.5,0.043,0
00:50.062,-0.21,-0.42,1.04,-1,23.5,0.043,0
00:50.093,-0.24,-0.24,0.93,-1,23.5,0.045,0
00:50.125,-0.23,0.05,1.03,-1,23.5,0.045,0
00:50.156,-0.18,-0.13,0.63,-1,23.5,0.043,0
00:50.187,-0.06,-0.24,0.75,-1,23.5,0.043,0
00:50.218,-0.26,-0.22,1.47,-1,23.5,0.045,0
00:50.250,-0.22,0.16,0.78,-1,23.5,0.045,0
00:50.281,-0.21,0.04,1.1,-1,23.5,0.043,0
00:50.312,-0.2,-0.09,0.85,-1,23.5,0.043,0
00:50.343,-0.08,-0.19,0.58,-1,23.5,0.045,0
00:50.375,-0.14,0,2.009,-1,23.5,0.043,0
00:50.406,-0.21,0.02,0.75,-1,23.5,0.043,0
