Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
01:24.343,-0.39,-0.08,0.95,-1,24.1,0.045,0
01:24.375,-0.39,-0.09,0.95,-1,24.1,0.045,0
01:24.406,-0.39,-0.08,0.94,-1,24.1,0.045,0
01:24.437,-0.39,-0.08,0.95,-1,24.1,0.047,0
01:24.468,-0.39,-0.08,0.95,-1,24.3,0.047,0
01:24.500,-0.39,-0.08,0.94,-1,24.3,0.045,0
01:24.531,-0.39,-0.08,0.94,-1,24.1,0.047,0
01:24.562,-0.38,-0.07,0.93,-1,24.1,0.045,0
01:24.593,-0.38,-0.07,0.93,-1,24.1,0.047,0
01:24.625,-0.38,-0.07,0.91,-1,24.1,0.045,0
01:24.656,-0.38,-0.07,0.87,-1,24.1,0.045,0
01:24.687,-0.37,-0.1,0.92,-1,24.3,0.049,0
01:24.718,-0.39,-0.07,0.99,-1,24.1,0.045,0
01:24.750,-0.41,-0.08,1.03,-1,24.1,0.045,0
01:24.781,-0.43,-0.08,1.07,-1,24.3,0.047,0
01:24.812,-0.42,-0.1,1.01,-1,24.3,0.045,0
01:24.843,-0.38,-0.12,0.96,-1,24.3,0.049,0
01:24.875,-0.35,-0.09,0.89,-1,24.3,0.047,0
01:24.906,-0.33,-0.06,0.88,-1,24.3,0.047,0
01:24.937,-0.29,-0.04,0.82,-1,24.1,0.045,0
01:24.968,-0.24,-0.06,0.7,-1,24.1,0.047,0
01:25.000,-0.21,-0.03,0.59,-1,24.1,0.045,0
01:25.031,-0.27,-0.05,0.53,-1,24.1,0.047,0
01:25.062,-0.22,-0.12,1.31,-1,24.1,0.045,0
01:25.093,-0.35,0.03,0.07,-1,24.1,0.045,0
01:25.125,-0.32,-0.19,1.47,-1,24.3,0.047,0
01:25.156,-0.38,0.11,1.01,-1,24.1,0.045,0
01:25.187,-0.3,-0.19,0.65,-1,24.1,0.047,0
01:25.218,-0.11,-0.14,0.51,-1,24.1,0.047,0
01:25.250,-0.16,-0.17,0.34,-1,24.1,0.045,0
01:25.281,0.04,-1.01,3.36,-1,24.3,0.045,0
01:25.312,-0.37,-1.18,1.21,-1,24.1,0.045,0
01:25.343,-0.33,-0.15,1.01,-1,24.3,0.045,0
01:25.375,-0.26,0.34,0.61,-1,24.3,0.045,0
01:25.406,-0.01,-0.22,0.19,-1,24.3,0.047,0
01:25.437,0.02,-0.35,0.77,-1,24.1,0.045,0
01:25.468,0.42,-1.46,2.31,-1,24.1,0.045,0
01:25.500,-0.23,0.82,0.64,-1,24.1,0.049,0
01:25.531,-0.3,-0.02,1.31,-1,24.3,0.045,0
01:25.562,-0.35,-0.22,1.2,-1,24.3,0.045,0
01:25.593,-0.35,-0.2,1.07,-1,24.3,0.045,0
01:25.625,-0.3,-0.06,0.93,-1,24.3,0.045,0
01:25.656,-0.29,-0.03,0.76,-1,24.3,0.045,0
01:25.687,-0.29,-0.13,0.79,-1,24.3,0.045,0
01:25.718,-0.32,-0.16,0.82,-1,24.3,0.045,0
01:25.750,-0.36,-0.17,0.81,-1,24.1,0.045,0
01:25.781,-0.4,-0.11,0.81,-1,24.3,0.045,0
01:25.812,-0.43,-0.1,0.83,-1,24.1,0.047,0
01:25.843,-0.44,-0.11,0.82,-1,24.1,0.045,0
01:25.875,-0.45,-0.12,0.81,-1,24.3,0.045,0
01:25.906,-0.46,-0.11,0.86,-1,24.1,0.045,0
01:25.937,-0.47,-0.11,0.87,-1,24.3,0.047,0
01:25.968,-0.48,-0.13,0.87,-1,24.3,0.047,0
01:26.000,-0.48,-0.1,0.91,-1,24.3,0.047,0
01:26.031,-0.48,-0.07,0.93,-1,24.3,0.047,0
01:26.062,-0.48,-0.06,0.93,-1,24.3,0.045,0
01:26.093,-0.47,-0.06,0.92,-1,24.3,0.047,0
01:26.125,-0.46,-0.08,0.92,-1,24.1,0.047,0
01:26.156,-0.45,-0.08,0.93,-1,24.1,0.047,0
01:26.187,-0.45,-0.05,0.93,-1,24.1,0.045,0
01:26.218,-0.45,-0.06,0.93,-1,24.3,0.047,0
01:26.250,-0.44,-0.05,0.95,-1,24.3,0.045,0
01:26.281,-0.44,-0.05,0.95,-1,24.3,0.045,0
01:26.312,-0.43,-0.05,0.95,-1,24.3,0.045,0
01:26.343,-0.43,-0.05,0.96,-1,24.3,0.047,0
01:26.375,-0.43,-0.06,0.95,-1,24.3,0.047,0
01:26.406,-0.43,-0.07,0.95,-1,24.3,0.045,0
01:26.437,-0.42,-0.05,0.95,-1,24.3,0.047,0
01:26.468,-0.42,-0.07,0.94,-1,24.1,0.045,0
01:26.500,-0.41,-0.07,0.95,-1,24.3,0.045,0
01:26.531,-0.4,-0.05,0.95,-1,24.3,0.045,0
01:26.562,-0.41,-0.05,0.95,-1,24.3,0.047,0
01:26.593,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:26.625,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:26.656,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:26.687,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:26.718,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:26.750,-0.42,-0.07,0.95,-1,24.3,0.047,0
01:26.781,-0.42,-0.06,0.94,-1,24.3,0.045,0
01:26.812,-0.41,-0.06,0.93,-1,24.3,0.047,0
01:26.843,-0.42,-0.05,0.95,-1,24.3,0.045,0
01:26.875,-0.42,-0.06,0.94,-1,24.3,0.045,0
01:26.906,-0.42,-0.06,0.93,-1,24.3,0.047,0
01:26.937,-0.42,-0.06,0.94,-1,24.3,0.045,0
01:26.968,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.000,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.031,-0.41,-0.07,0.94,-1,24.3,0.047,0
01:27.062,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.093,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.125,-0.41,-0.06,0.94,-1,24.1,0.047,0
01:27.156,-0.42,-0.06,0.94,-1,24.3,0.045,0
01:27.187,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.218,-0.41,-0.07,0.94,-1,24.3,0.047,0
01:27.250,-0.42,-0.07,0.95,-1,24.1,0.045,0
01:27.281,-0.42,-0.07,0.94,-1,24.3,0.045,0
01:27.312,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.343,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:27.375,-0.41,-0.07,0.93,-1,24.3,0.045,0
01:27.406,-0.41,-0.06,0.95,-1,24.3,0.047,0
01:27.437,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.468,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.500,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.531,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.562,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.593,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.625,-0.41,-0.07,0.93,-1,24.3,0.047,0
01:27.656,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.687,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:27.718,-0.42,-0.07,0.96,-1,24.3,0.047,0
01:27.750,-0.42,-0.06,0.95,-1,24.3,0.047,0
01:27.781,-0.41,-0.07,0.94,-1,24.3,0.047,0
01:27.812,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:27.843,-0.41,-0.06,0.94,-1,24.3,0.047,0
01:27.875,-0.41,-0.06,0.93,-1,24.3,0.045,0
01:27.906,-0.41,-0.07,0.94,-1,24.3,0.045,0
01:27.937,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:27.968,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:28.000,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:28.031,-0.41,-0.06,0.95,-1,24.3,0.047,0
01:28.062,-0.41,-0.07,0.94,-1,24.3,0.047,0
01:28.093,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:28.125,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:28.156,-0.41,-0.06,0.95,-1,24.3,0.045,0
01:28.187,-0.41,-0.06,0.94,-1,24.3,0.045,0
01:28.218,-0.41,-0.06,0.94,-1,24.3,0.047,0
