Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
02:05.218,-0.26,0.02,0.99,-1,24.9,0.049,0
02:05.250,-0.26,0.02,0.99,-1,24.9,0.049,0
02:05.281,-0.26,0.03,0.97,-1,24.9,0.049,0
02:05.312,-0.26,0.03,0.99,-1,24.9,0.049,0
02:05.343,-0.26,0.04,0.98,-1,24.9,0.049,0
02:05.375,-0.26,0.03,0.99,-1,24.9,0.049,0
02:05.406,-0.27,0.03,0.98,-1,24.9,0.049,0
02:05.437,-0.27,0.03,0.98,-1,25.1,0.047,0
02:05.468,-0.31,0.02,0.93,-1,25.3,0.055,0
02:05.500,-0.27,0.03,0.97,-1,25.1,0.049,0
02:05.531,-0.3,0,1.08,-1,25.1,0.047,0
02:05.562,-0.26,0.02,0.96,-1,25.1,0.049,0
02:05.593,-0.25,0.02,0.95,-1,25.1,0.049,0
02:05.625,-0.25,0.02,0.93,-1,25.1,0.049,0
02:05.656,-0.25,0.04,0.84,-1,25.1,0.046,0
02:05.687,-0.24,-0.01,0.85,-1,25.1,0.049,0
02:05.718,-0.19,-0.01,1,-1,25.1,0.049,0
02:05.750,-0.18,0.06,1.12,-1,25.1,0.049,0
02:05.781,-0.21,0.11,1.21,-1,25.1,0.046,0
02:05.812,-0.19,0.08,1.23,-1,24.7,0.082,0
02:05.843,-0.24,0,1.18,-1,25.1,0.049,0
02:05.875,-0.26,-0.03,1.08,-1,25.1,0.049,0
02:05.906,-0.25,-0.1,0.99,-1,25.1,0.049,0
02:05.937,-0.21,-0.05,0.83,-1,25.1,0.049,0
02:05.968,-0.2,-0.05,0.69,-1,25.6,0.053,0
02:06.000,-0.18,-0.04,0.6,-1,25.1,0.049,0
02:06.031,-0.13,0,0.93,-1,25.1,0.046,0
02:06.062,-0.18,0,1.14,-1,25.1,0.049,0
02:06.093,-0.03,-0.26,1.31,-1,25.1,0.049,0
02:06.125,-0.26,0.07,1.12,-1,25.1,0.049,0
02:06.156,-0.23,-0.08,1.25,-1,24.9,0.049,0
02:06.187,-0.24,-0.17,0.81,-1,24.9,0.05,0
02:06.218,-0.22,-0.17,0.71,-1,24.9,0.05,0
02:06.250,-0.16,-0.24,0.67,-1,24.9,0.049,0
02:06.281,-0.12,-0.06,0.92,-1,24.9,0.047,0
02:06.312,-0.14,-0.2,0.82,-1,24.9,0.047,0
02:06.343,-0.21,0.57,1.32,-1,24.9,0.049,0
02:06.375,-0.21,-0.25,1.14,-1,24.9,0.049,0
02:06.406,-0.24,-0.22,0.95,-1,24.9,0.049,0
02:06.437,-0.22,-0.11,0.77,-1,24.9,0.049,0
02:06.468,-0.17,-0.15,0.7,-1,24.9,0.047,0
02:06.500,-0.13,-0.12,0.8,-1,24.9,0.047,0
02:06.531,-0.14,-0.03,1,-1,24.9,0.049,0
02:06.562,-0.23,0.45,1.24,-1,24.9,0.049,0
02:06.593,-0.2,-0.2,1.11,-1,24.9,0.049,0
02:06.625,-0.22,-0.17,0.92,-1,24.9,0.049,0
02:06.656,-0.2,-0.1,0.79,-1,24.9,0.047,0
02:06.687,-0.14,-0.12,0.66,-1,24.9,0.049,0
02:06.718,-0.13,-0.11,0.66,-1,24.9,0.049,0
02:06.750,-0.07,-0.23,1.11,-1,24.9,0.049,0
02:06.781,-0.07,0.6,1.88,-1,24.9,0.049,0
02:06.812,-0.17,-0.33,1.11,-1,24.9,0.047,0
02:06.843,-0.22,-0.13,1.01,-1,24.9,0.047,0
02:06.875,-0.22,-0.09,0.82,-1,24.9,0.047,0
02:06.906,-0.18,-0.1,0.76,-1,24.9,0.049,0
02:06.937,-0.11,-0.08,0.69,-1,24.9,0.047,0
02:06.968,-0.09,-0.09,0.97,-1,24.9,0.049,0
02:07.000,0.07,-0.17,1.4,-1,24.9,0.047,0
02:07.031,-0.24,0.13,1.21,-1,24.9,0.049,0
02:07.062,-0.21,-0.13,1.07,-1,24.9,0.049,0
02:07.093,-0.21,-0.05,0.93,-1,24.9,0.049,0
02:07.125,-0.17,-0.05,0.77,-1,24.9,0.049,0
02:07.156,-0.11,-0.08,0.7,-1,24.9,0.049,0
02:07.187,-0.09,-0.05,0.83,-1,24.9,0.049,0
02:07.218,-0.08,-0.14,1.11,-1,24.9,0.047,0
02:07.250,-0.15,0.54,1.74,-1,24.9,0.049,0
02:07.281,-0.22,-0.28,1.12,-1,24.9,0.049,0
02:07.312,-0.22,-0.11,1.02,-1,24.9,0.049,0
02:07.343,-0.18,-0.03,0.82,-1,24.9,0.049,0
02:07.375,-0.1,-0.09,0.79,-1,24.9,0.049,0
02:07.406,-0.09,-0.08,0.67,-1,24.9,0.047,0
02:07.437,-0.09,-0.14,0.9,-1,24.9,0.049,0
02:07.468,-0.04,0.07,1.28,-1,24.9,0.049,0
02:07.500,-0.27,0.09,1.24,-1,24.9,0.047,0
02:07.531,-0.17,-0.04,1.05,-1,24.9,0.049,0
02:07.562,-0.18,-0.04,1,-1,25.1,0.047,0
02:07.593,-0.16,0,0.89,-1,25.1,0.049,0
02:07.625,-0.12,-0.06,0.78,-1,24.9,0.047,0
02:07.656,-0.13,-0.05,0.74,-1,24.9,0.049,0
02:07.687,-0.13,-0.12,0.85,-1,24.9,0.049,0
02:07.718,-0.02,-0.09,1.41,-1,24.9,0.049,0
02:07.750,-0.23,0.01,1.14,-1,24.9,0.049,0
02:07.781,-0.2,-0.12,1.06,-1,24.9,0.049,0
02:07.812,-0.21,-0.11,0.97,-1,24.9,0.049,0
02:07.843,-0.18,-0.07,0.83,-1,24.9,0.049,0
02:07.875,-0.13,-0.09,0.74,-1,24.9,0.049,0
02:07.906,-0.11,-0.05,0.76,-1,24.9,0.049,0
02:07.937,-0.08,-0.1,1.1,-1,24.9,0.049,0
02:07.968,-0.15,0.12,1.84,-1,24.9,0.049,0
02:08.000,-0.21,-0.22,1.09,-1,24.9,0.049,0
02:08.031,-0.19,-0.15,1.04,-1,24.9,0.049,0
02:08.062,-0.19,-0.05,0.94,-1,24.9,0.049,0
02:08.093,-0.16,-0.07,0.9,-1,24.9,0.049,0
02:08.125,-0.12,-0.06,0.81,-1,24.9,0.049,0
02:08.156,-0.12,-0.06,0.84,-1,24.9,0.047,0
02:08.187,-0.11,-0.07,0.95,-1,24.9,0.049,0
02:08.218,-0.13,0.18,1.77,-1,24.9,0.049,0
02:08.250,-0.19,-0.31,1.1,-1,25.1,0.047,0
02:08.281,-0.17,-0.13,1,-1,24.9,0.049,0
02:08.312,-0.19,-0.04,0.93,-1,24.9,0.049,0
02:08.343,-0.17,-0.06,0.89,-1,24.9,0.049,0
02:08.375,-0.13,-0.06,0.81,-1,24.9,0.049,0
02:08.406,-0.12,-0.06,0.89,-1,24.9,0.049,0
02:08.437,-0.12,0.05,0.96,-1,24.9,0.049,0
02:08.468,-0.18,0.23,1.25,-1,24.9,0.049,0
02:08.500,-0.16,0,0.93,-1,24.9,0.049,0
02:08.531,-0.17,-0.06,1.01,-1,24.9,0.047,0
02:08.562,-0.18,0,0.96,-1,24.9,0.049,0
02:08.593,-0.15,-0.09,0.87,-1,25.1,0.049,0
02:08.625,-0.14,-0.07,0.79,-1,25.1,0.049,0
02:08.656,-0.09,-0.03,0.97,-1,24.9,0.049,0
02:08.687,-0.05,0.2,1.71,-1,25.1,0.049,0
02:08.718,-0.16,-0.17,1.02,-1,24.9,0.047,0
02:08.750,-0.16,-0.15,1.11,-1,24.9,0.049,0
02:08.781,-0.2,0,1.01,-1,24.9,0.049,0
02:08.812,-0.2,-0.06,0.97,-1,25.1,0.047,0
02:08.843,-0.19,-0.05,0.8,-1,24.9,0.049,0
02:08.875,-0.15,-0.06,0.85,-1,24.9,0.049,0
02:08.906,-0.16,-0.04,0.98,-1,25.1,0.049,0
02:08.937,-0.15,0,0.85,-1,25.1,0.049,0
02:08.968,-0.1,0.44,1.51,-1,24.9,0.049,0
02:09.000,-0.17,0.06,1,-1,24.9,0.049,0
02:09.031,-0.21,-0.07,1.16,-1,25.1,0.049,0
02:09.062,-0.23,0.02,1.04,-1,24.9,0.047,0
02:09.093,-0.23,-0.01,1.05,-1,25.1,0.049,0
02:09.125,-0.23,0,0.94,-1,24.9,0.049,0
02:09.156,-0.22,0.01,0.89,-1,24.9,0.047,0
02:09.187,-0.23,0,0.9,-1,24.9,0.049,0
02:09.218,-0.25,0,0.9,-1,24.9,0.049,0
02:09.250,-0.26,-0.01,0.87,-1,24.9,0.049,0
02:09.281,-0.28,0,0.86,-1,24.9,0.049,0
02:09.312,-0.29,0,0.89,-1,24.9,0.049,0
02:09.343,-0.31,0,0.91,-1,24.9,0.047,0
02:09.375,-0.31,0,0.92,-1,24.9,0.047,0
02:09.406,-0.31,0.01,0.96,-1,24.9,0.049,0
02:09.437,-0.32,0.03,0.99,-1,24.9,0.049,0
02:09.468,-0.33,0.02,0.97,-1,24.9,0.049,0
02:09.500,-0.33,0,0.98,-1,25.1,0.049,0
02:09.531,-0.33,0.02,1.01,-1,24.9,0.049,0
02:09.562,-0.33,0.03,1,-1,24.9,0.049,0
02:09.593,-0.32,0.03,1,-1,24.9,0.049,0
02:09.625,-0.32,0.03,1,-1,24.9,0.047,0
02:09.656,-0.32,0.02,1,-1,25.1,0.049,0
02:09.687,-0.3,0.02,0.99,-1,24.9,0.049,0
02:09.718,-0.3,0.03,0.98,-1,24.9,0.049,0
02:09.750,-0.3,0.01,0.98,-1,24.9,0.049,0
02:09.781,-0.29,0.01,0.96,-1,24.9,0.049,0
02:09.812,-0.29,0.02,0.97,-1,25.1,0.047,0
02:09.843,-0.29,0.02,0.97,-1,24.9,0.049,0
02:09.875,-0.3,0.02,0.96,-1,24.9,0.049,0
