Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
59:35.250,-0.3,0,0.97,-1,21.2,0.041,0
59:35.281,-0.31,-0.01,0.98,-1,21,0.041,0
59:35.312,-0.31,-0.01,0.98,-1,21.2,0.041,0
59:35.343,-0.3,-0.01,0.97,-1,21.2,0.039,0
59:35.375,-0.3,-0.01,0.97,-1,21.2,0.041,0
59:35.406,-0.3,-0.01,0.97,-1,21.2,0.041,0
59:35.437,-0.3,-0.01,0.98,-1,21.2,0.041,0
59:35.468,-0.32,-0.01,0.98,-1,21.2,0.041,0
59:35.500,-0.34,-0.02,1,-1,21.2,0.039,0
59:35.531,-0.36,-0.03,1.01,-1,21.2,0.041,0
59:35.562,-0.36,-0.04,1.04,-1,21.2,0.041,0
59:35.593,-0.36,-0.05,1.04,-1,21.2,0.039,0
59:35.625,-0.35,-0.05,1.06,-1,21.2,0.041,0
59:35.656,-0.35,-0.06,1.03,-1,21.2,0.041,0
59:35.687,-0.33,-0.06,1,-1,21.2,0.039,0
59:35.718,-0.33,-0.06,0.97,-1,21.2,0.041,0
59:35.750,-0.33,-0.06,0.95,-1,21.2,0.041,0
59:35.781,-0.32,-0.06,0.94,-1,21.2,0.039,0
59:35.812,-0.32,-0.08,0.91,-1,21.2,0.041,0
59:35.843,-0.32,-0.08,0.88,-1,21,0.041,0
59:35.875,-0.31,-0.08,0.86,-1,21,0.039,0
59:35.906,-0.29,-0.08,0.85,-1,21.2,0.039,0
59:35.937,-0.27,-0.1,0.81,-1,21.2,0.041,0
59:35.968,-0.27,-0.17,0.69,-1,21.2,0.039,0
59:36.000,-0.27,-0.17,0.71,-1,21.2,0.039,0
59:36.031,-0.27,-0.07,1.05,-1,21.2,0.041,0
59:36.062,-0.13,0,1.05,-1,21,0.041,0
59:36.093,-0.46,0.18,1.21,-1,21.2,0.039,0
59:36.125,-0.27,-0.14,0.95,-1,21.2,0.041,0
59:36.156,-0.24,-0.28,1.09,-1,21.2,0.041,0
59:36.187,-0.26,-0.19,1.09,-1,21.2,0.039,0
59:36.218,-0.29,-0.22,1.03,-1,21,0.041,0
59:36.250,-0.3,-0.19,0.98,-1,21.2,0.039,0
59:36.281,-0.3,-0.16,0.93,-1,21.2,0.041,0
59:36.312,-0.3,-0.15,0.91,-1,21.2,0.041,0
59:36.343,-0.31,-0.15,0.87,-1,21.2,0.041,0
59:36.375,-0.31,-0.13,0.8,-1,21.2,0.041,0
59:36.406,-0.31,-0.14,0.78,-1,21.2,0.041,0
59:36.437,-0.3,-0.13,0.77,-1,21.2,0.041,0
59:36.468,-0.27,-0.15,0.76,-1,21.2,0.041,0
59:36.500,-0.26,-0.14,0.92,-1,21.2,0.041,0
59:36.531,-0.21,-0.12,1.1,-1,21.2,0.039,0
59:36.562,-0.35,0.05,1.68,-1,21.2,0.039,0
59:36.593,-0.25,-0.36,1.08,-1,21.2,0.041,0
59:36.625,-0.26,-0.17,1.09,-1,21.2,0.041,0
59:36.656,-0.28,-0.17,1.07,-1,21.2,0.039,0
59:36.687,-0.29,-0.19,1.05,-1,21.2,0.041,0
59:36.718,-0.3,-0.16,0.98,-1,21.2,0.041,0
59:36.750,-0.3,-0.14,0.93,-1,21.2,0.041,0
59:36.781,-0.3,-0.12,0.89,-1,21.2,0.041,0
59:36.812,-0.31,-0.12,0.86,-1,21.2,0.041,0
59:36.843,-0.32,-0.11,0.81,-1,21.2,0.041,0
59:36.875,-0.32,-0.12,0.77,-1,21.2,0.041,0
59:36.906,-0.3,-0.13,0.79,-1,21.2,0.041,0
59:36.937,-0.28,-0.13,0.8,-1,21.2,0.041,0
59:36.968,-0.26,-0.12,0.88,-1,21.2,0.041,0
59:37.000,-0.23,-0.12,1.05,-1,21.2,0.041,0
59:37.031,-0.12,-0.22,1.87,-1,21.2,0.041,0
59:37.062,-0.3,-0.37,1.26,-1,21.2,0.041,0
59:37.093,-0.26,-0.04,1.03,-1,21.2,0.041,0
59:37.125,-0.25,-0.16,1.06,-1,21.2,0.041,0
59:37.156,-0.27,-0.09,1.05,-1,21.2,0.041,0
59:37.187,-0.29,-0.13,1.01,-1,21.2,0.039,0
59:37.218,-0.29,-0.11,0.98,-1,21.2,0.041,0
59:37.250,-0.3,-0.11,0.93,-1,21.2,0.041,0
59:37.281,-0.31,-0.11,0.9,-1,21.2,0.039,0
59:37.312,-0.32,-0.11,0.89,-1,21.2,0.041,0
59:37.343,-0.33,-0.1,0.82,-1,21.2,0.041,0
59:37.375,-0.34,-0.1,0.76,-1,21.2,0.041,0
59:37.406,-0.32,-0.1,0.81,-1,21.2,0.041,0
59:37.437,-0.31,-0.09,0.81,-1,21.2,0.039,0
59:37.468,-0.29,-0.07,0.77,-1,21.2,0.041,0
59:37.500,-0.25,-0.05,1.11,-1,21.2,0.039,0
59:37.531,-0.2,-0.25,1.32,-1,21.2,0.041,0
59:37.562,-0.39,0,1.15,-1,21.2,0.041,0
59:37.593,-0.27,-0.14,1.03,-1,21.2,0.041,0
59:37.625,-0.26,-0.18,1.1,-1,21.2,0.041,0
59:37.656,-0.28,-0.11,1.05,-1,21.2,0.041,0
59:37.687,-0.29,-0.14,1.02,-1,21.2,0.041,0
59:37.718,-0.29,-0.12,1,-1,21.2,0.041,0
59:37.750,-0.3,-0.11,0.98,-1,21.2,0.039,0
59:37.781,-0.31,-0.11,0.96,-1,21.2,0.041,0
59:37.812,-0.32,-0.09,0.93,-1,21.2,0.041,0
59:37.843,-0.33,-0.08,0.9,-1,21.2,0.041,0
59:37.875,-0.33,-0.07,0.84,-1,21.2,0.041,0
59:37.906,-0.33,-0.09,0.79,-1,21.2,0.039,0
59:37.937,-0.32,-0.11,0.78,-1,21.2,0.041,0
59:37.968,-0.3,-0.13,0.73,-1,21.2,0.041,0
59:38.000,-0.27,-0.12,0.81,-1,21.2,0.041,0
59:38.031,-0.23,-0.06,1.09,-1,21.2,0.041,0
59:38.062,-0.02,-0.52,1.8,-1,21.2,0.041,0
59:38.093,-0.29,-0.28,1.13,-1,21.2,0.041,0
59:38.125,-0.25,-0.06,0.93,-1,21.2,0.039,0
59:38.156,-0.24,-0.12,0.99,-1,21.2,0.041,0
59:38.187,-0.23,-0.06,1.01,-1,21.2,0.041,0
59:38.218,-0.23,-0.11,1,-1,21.2,0.041,0
59:38.250,-0.24,-0.08,1,-1,21.2,0.039,0
59:38.281,-0.26,-0.09,1.01,-1,21.2,0.041,0
59:38.312,-0.27,-0.08,1,-1,21.2,0.041,0
59:38.343,-0.28,-0.06,1,-1,21.2,0.041,0
59:38.375,-0.28,-0.05,1,-1,21.2,0.041,0
59:38.406,-0.27,-0.05,1,-1,21.2,0.041,0
59:38.437,-0.28,-0.04,1,-1,21.2,0.041,0
59:38.468,-0.28,-0.05,0.99,-1,21.2,0.039,0
59:38.500,-0.29,-0.05,0.98,-1,21.2,0.041,0
59:38.531,-0.3,-0.05,0.99,-1,21.2,0.041,0
59:38.562,-0.32,-0.05,0.97,-1,21.2,0.041,0
59:38.593,-0.32,-0.05,0.98,-1,21.2,0.041,0
59:38.625,-0.34,-0.04,0.97,-1,21.2,0.037,0
59:38.656,-0.34,-0.04,0.97,-1,21.2,0.041,0
59:38.687,-0.34,-0.03,0.96,-1,21.2,0.041,0
59:38.718,-0.35,-0.03,0.95,-1,21.2,0.039,0
59:38.750,-0.35,-0.04,0.94,-1,21.2,0.041,0
59:38.781,-0.35,-0.04,0.94,-1,21.2,0.039,0
59:38.812,-0.34,-0.04,0.92,-1,21.2,0.041,0
59:38.843,-0.34,-0.04,0.93,-1,21.2,0.041,0
59:38.875,-0.34,-0.03,0.95,-1,21.2,0.041,0
59:38.906,-0.33,-0.02,0.96,-1,21.2,0.039,0
59:38.937,-0.33,-0.02,0.99,-1,21.2,0.041,0
59:38.968,-0.34,-0.02,0.99,-1,21.2,0.039,0
59:39.000,-0.34,-0.03,1,-1,21.2,0.041,0
59:39.031,-0.35,-0.05,0.99,-1,21.2,0.041,0
59:39.062,-0.35,-0.05,0.99,-1,21.2,0.041,0
59:39.093,-0.34,-0.04,0.98,-1,21.2,0.041,0
59:39.125,-0.35,-0.04,0.98,-1,21.2,0.041,0
59:39.156,-0.35,-0.04,0.96,-1,21.4,0.039,0
59:39.187,-0.35,0.02,1.06,-1,21.6,0.035,0
59:39.218,-0.35,-0.03,0.95,-1,21.4,0.038,0
59:39.250,-0.34,-0.05,1.11,-1,21.6,0.031,0
59:39.281,-0.35,-0.03,0.96,-1,21.4,0.038,0
59:39.312,-0.35,-0.03,0.96,-1,21.4,0.038,0
59:39.343,-0.35,-0.03,0.97,-1,21.4,0.041,0
59:39.375,-0.35,-0.03,0.96,-1,21.4,0.041,0
59:39.406,-0.36,-0.03,0.97,-1,21.4,0.041,0
59:39.437,-0.36,-0.05,0.95,-1,21.6,0.041,0
59:39.468,-0.36,-0.04,0.96,-1,21.4,0.041,0
59:39.500,-0.36,-0.03,0.96,-1,21.4,0.041,0
59:39.531,-0.33,-0.05,0.99,-1,21.4,0.038,0
59:39.562,-0.36,-0.03,0.96,-1,21.4,0.041,0
59:39.593,-0.36,-0.03,0.96,-1,21.4,0.041,0
59:39.625,-0.35,-0.04,0.96,-1,21.4,0.041,0
59:39.656,-0.36,-0.03,0.97,-1,21.4,0.041,0
59:39.687,-0.35,-0.03,0.96,-1,21.4,0.038,0
59:39.718,-0.36,-0.04,0.96,-1,21.4,0.041,0
59:39.750,-0.36,-0.04,0.96,-1,21.4,0.038,0
59:39.781,-0.36,-0.04,0.96,-1,21.4,0.041,0
59:39.812,-0.36,-0.04,0.96,-1,21.4,0.041,0
59:39.843,-0.36,-0.03,0.96,-1,21.4,0.041,0
59:39.875,-0.4,-0.08,0.98,-1,22.4,0.039,0
59:39.906,-0.35,-0.03,0.96,-1,21.2,0.038,0
