Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
00:16.812,-0.37,-0.06,0.94,-1,22.4,0.041,0
00:16.843,-0.37,-0.05,0.95,-1,22.4,0.041,0
00:16.875,-0.36,-0.05,0.95,-1,22.4,0.041,0
00:16.906,-0.37,-0.05,0.94,-1,22.4,0.043,0
00:16.937,-0.37,-0.06,0.95,-1,22.4,0.041,0
00:16.968,-0.37,-0.06,0.95,-1,22.4,0.041,0
00:17.000,-0.37,-0.07,0.95,-1,22.4,0.041,0
00:17.031,-0.37,-0.07,0.95,-1,22.4,0.041,0
00:17.062,-0.37,-0.07,0.95,-1,22.4,0.041,0
00:17.093,-0.36,-0.06,0.94,-1,22.4,0.041,0
00:17.125,-0.35,-0.05,0.9,-1,22.4,0.041,0
00:17.156,-0.32,-0.04,0.83,-1,22.4,0.041,0
00:17.187,-0.28,-0.04,0.67,-1,22.4,0.041,0
00:17.218,-0.24,-0.06,0.77,-1,22.4,0.041,0
00:17.250,-0.22,0.06,1.18,-1,22.4,0.041,0
00:17.281,-0.11,-0.4,1.42,-1,22.4,0.041,0
00:17.312,-0.38,-0.27,1.25,-1,22.4,0.043,0
00:17.343,-0.3,-0.08,0.98,-1,22.4,0.041,0
00:17.375,-0.27,-0.1,1.01,-1,22.6,0.043,0
00:17.406,-0.26,-0.02,1.01,-1,22.4,0.043,0
00:17.437,-0.28,-0.03,1.01,-1,22.4,0.043,0
00:17.468,-0.28,-0.05,1.02,-1,22.6,0.041,0
00:17.500,-0.3,-0.05,1,-1,22.4,0.041,0
00:17.531,-0.3,-0.06,0.98,-1,22.4,0.041,0
00:17.562,-0.31,-0.06,0.99,-1,22.6,0.041,0
00:17.593,-0.32,-0.06,0.97,-1,22.4,0.041,0
00:17.625,-0.33,-0.07,0.97,-1,22.4,0.041,0
00:17.656,-0.33,-0.06,0.96,-1,22.4,0.041,0
00:17.687,-0.35,-0.06,0.95,-1,22.4,0.041,0
00:17.718,-0.36,-0.06,0.95,-1,22.6,0.043,0
00:17.750,-0.36,-0.07,0.93,-1,22.4,0.041,0
00:17.781,-0.36,-0.08,0.92,-1,22.4,0.041,0
00:17.812,-0.37,-0.09,0.91,-1,22.4,0.041,0
00:17.843,-0.38,-0.08,0.91,-1,22.6,0.041,0
00:17.875,-0.38,-0.07,0.91,-1,22.4,0.043,0
00:17.906,-0.38,-0.07,0.91,-1,22.4,0.041,0
00:17.937,-0.38,-0.08,0.92,-1,22.4,0.041,0
00:17.968,-0.38,-0.09,0.92,-1,22.4,0.041,0
00:18.000,-0.38,-0.08,0.94,-1,22.4,0.041,0
00:18.031,-0.38,-0.07,0.95,-1,22.4,0.041,0
00:18.062,-0.37,-0.07,0.95,-1,22.4,0.041,0
00:18.093,-0.37,-0.07,0.94,-1,22.4,0.041,0
00:18.125,-0.36,-0.07,0.93,-1,22.6,0.041,0
00:18.156,-0.35,-0.07,0.9,-1,22.4,0.041,0
00:18.187,-0.34,-0.08,0.87,-1,22.6,0.041,0
00:18.218,-0.32,-0.08,0.8,-1,22.4,0.041,0
00:18.250,-0.27,-0.08,0.79,-1,22.6,0.043,0
00:18.281,-0.24,0.11,1.13,-1,22.6,0.041,0
00:18.312,-0.17,0.25,0.96,-1,22.6,0.041,0
00:18.343,-0.32,0.03,1.18,-1,22.6,0.041,0
00:18.375,-0.26,-0.15,0.95,-1,22.4,0.041,0
00:18.406,-0.26,-0.11,1,-1,22.6,0.041,0
00:18.437,-0.25,-0.01,0.99,-1,22.6,0.041,0
00:18.468,-0.26,-0.07,1,-1,22.6,0.043,0
00:18.500,-0.27,-0.05,1,-1,22.6,0.041,0
00:18.531,-0.28,-0.05,1.01,-1,22.4,0.041,0
00:18.562,-0.28,-0.05,0.99,-1,22.6,0.041,0
00:18.593,-0.29,-0.05,0.99,-1,22.6,0.041,0
00:18.625,-0.29,-0.05,1,-1,22.6,0.041,0
00:18.656,-0.3,-0.05,0.99,-1,22.4,0.041,0
00:18.687,-0.3,-0.06,1,-1,22.4,0.041,0
00:18.718,-0.3,-0.06,1,-1,22.4,0.041,0
00:18.750,-0.31,-0.05,0.98,-1,22.6,0.041,0
00:18.781,-0.32,-0.06,0.98,-1,22.6,0.041,0
00:18.812,-0.32,-0.06,0.96,-1,22.4,0.041,0
00:18.843,-0.33,-0.06,0.95,-1,22.4,0.041,0
00:18.875,-0.34,-0.06,0.96,-1,22.6,0.041,0
00:18.906,-0.34,-0.06,0.94,-1,22.4,0.041,0
00:18.937,-0.35,-0.06,0.94,-1,22.4,0.041,0
00:18.968,-0.35,-0.06,0.94,-1,22.6,0.043,0
00:19.000,-0.36,-0.06,0.94,-1,22.6,0.041,0
00:19.031,-0.36,-0.06,0.94,-1,22.6,0.041,0
00:19.062,-0.36,-0.07,0.93,-1,22.6,0.043,0
00:19.093,-0.36,-0.07,0.94,-1,22.6,0.041,0
00:19.125,-0.35,-0.07,0.91,-1,22.6,0.043,0
00:19.156,-0.34,-0.08,0.9,-1,22.6,0.041,0
00:19.187,-0.33,-0.08,0.86,-1,22.4,0.041,0
00:19.218,-0.3,-0.07,0.74,-1,22.6,0.041,0
00:19.250,-0.24,-0.1,0.71,-1,22.6,0.041,0
00:19.281,-0.23,0.04,1.03,-1,22.6,0.041,0
00:19.312,-0.28,-0.01,1.54,-1,22.6,0.041,0
00:19.343,-0.34,-0.08,1.23,-1,22.6,0.041,0
00:19.375,-0.25,-0.05,0.91,-1,22.6,0.041,0
00:19.406,-0.25,-0.05,0.99,-1,22.6,0.043,0
00:19.437,-0.24,0.02,0.97,-1,22.6,0.041,0
00:19.468,-0.25,0,0.97,-1,22.4,0.041,0
00:19.500,-0.26,0,1.01,-1,22.6,0.041,0
00:19.531,-0.27,-0.02,1,-1,22.4,0.041,0
00:19.562,-0.28,-0.02,1,-1,22.4,0.041,0
00:19.593,-0.28,-0.03,1,-1,22.6,0.041,0
00:19.625,-0.28,-0.03,0.99,-1,22.6,0.043,0
00:19.656,-0.28,-0.04,0.99,-1,22.6,0.041,0
00:19.687,-0.28,-0.05,0.99,-1,22.6,0.041,0
00:19.718,-0.29,-0.04,0.99,-1,22.6,0.043,0
00:19.750,-0.29,-0.05,0.99,-1,22.6,0.041,0
00:19.781,-0.29,-0.05,0.98,-1,22.6,0.041,0
00:19.812,-0.31,-0.05,0.97,-1,22.4,0.041,0
00:19.843,-0.32,-0.05,0.98,-1,22.6,0.041,0
00:19.875,-0.33,-0.05,0.97,-1,22.6,0.041,0
00:19.906,-0.34,-0.05,0.95,-1,22.6,0.041,0
00:19.937,-0.34,-0.04,0.95,-1,22.6,0.041,0
00:19.968,-0.35,-0.05,0.95,-1,22.6,0.041,0
00:20.000,-0.35,-0.05,0.94,-1,22.6,0.041,0
00:20.031,-0.35,-0.05,0.94,-1,22.6,0.041,0
00:20.062,-0.36,-0.06,0.93,-1,22.6,0.041,0
00:20.093,-0.36,-0.06,0.92,-1,22.6,0.041,0
00:20.125,-0.35,-0.06,0.92,-1,22.6,0.041,0
00:20.156,-0.34,-0.06,0.92,-1,22.6,0.041,0
00:20.187,-0.33,-0.06,0.9,-1,22.6,0.041,0
00:20.218,-0.31,-0.05,0.85,-1,22.6,0.041,0
00:20.250,-0.28,-0.07,0.75,-1,22.6,0.041,0
00:20.281,-0.25,-0.06,0.84,-1,22.6,0.041,0
00:20.312,-0.21,0.06,1.07,-1,22.6,0.041,0
00:20.343,-0.17,0.12,2.12,-1,22.6,0.041,0
00:20.375,-0.3,-0.33,1.09,-1,22.6,0.041,0
00:20.406,-0.26,-0.05,0.92,-1,22.6,0.041,0
00:20.437,-0.26,-0.04,0.98,-1,22.4,0.041,0
00:20.468,-0.25,0,0.98,-1,22.6,0.041,0
00:20.500,-0.25,0,0.99,-1,22.6,0.041,0
00:20.531,-0.26,-0.02,1,-1,22.6,0.041,0
00:20.562,-0.27,-0.02,1,-1,22.6,0.041,0
00:20.593,-0.28,-0.03,1,-1,22.6,0.041,0
00:20.625,-0.28,-0.03,1,-1,22.6,0.041,0
00:20.656,-0.28,-0.03,0.99,-1,22.6,0.043,0
00:20.687,-0.27,-0.03,1,-1,22.6,0.041,0
00:20.718,-0.28,-0.03,1,-1,22.6,0.041,0
00:20.750,-0.28,-0.04,0.99,-1,22.6,0.043,0
00:20.781,-0.29,-0.05,1,-1,22.6,0.041,0
00:20.812,-0.3,-0.05,1,-1,22.6,0.041,0
00:20.843,-0.32,-0.04,0.99,-1,22.6,0.041,0
00:20.875,-0.33,-0.05,0.97,-1,22.6,0.043,0
00:20.906,-0.33,-0.04,0.96,-1,22.6,0.041,0
00:20.937,-0.35,-0.04,0.96,-1,22.6,0.041,0
00:20.968,-0.35,-0.04,0.95,-1,22.6,0.041,0
00:21.000,-0.35,-0.03,0.94,-1,22.6,0.041,0
00:21.031,-0.37,-0.03,0.93,-1,22.6,0.043,0
00:21.062,-0.36,-0.03,0.92,-1,22.6,0.041,0
00:21.093,-0.36,-0.03,0.93,-1,22.6,0.041,0
00:21.125,-0.36,-0.02,0.94,-1,22.6,0.041,0
00:21.156,-0.36,-0.01,0.95,-1,22.6,0.041,0
00:21.187,-0.37,-0.03,0.95,-1,22.6,0.041,0
00:21.218,-0.37,-0.03,0.95,-1,22.6,0.041,0
00:21.250,-0.37,-0.03,0.96,-1,22.6,0.041,0
00:21.281,-0.37,-0.03,0.96,-1,22.6,0.041,0
00:21.312,-0.37,-0.04,0.96,-1,22.6,0.041,0
00:21.343,-0.38,-0.04,0.95,-1,22.6,0.041,0
00:21.375,-0.37,-0.04,0.95,-1,22.6,0.041,0
00:21.406,-0.37,-0.03,0.96,-1,22.6,0.041,0
00:21.437,-0.37,-0.03,0.96,-1,22.6,0.043,0
00:21.468,-0.37,-0.02,0.96,-1,22.6,0.043,0
